,segment_id,start_node,finish_node,lengthm,road_type,speed,st_astext,distance_to_kizilay(km)
0,1,164555561,4754236192,216.942435463349,primary,50,"LINESTRING(32.8486566 39.914424,32.84617 39.914835)",0.0
1,2,4754236192,277130673,77.048124869111,primary,46,"LINESTRING(32.84617 39.914835,32.8452886 39.914987)",0.216942435463349
2,3,277130673,2491138748,96.79594652623061,primary,33,"LINESTRING(32.8452886 39.914987,32.8441733 39.9151483)",0.29399056033245996
3,4,2491138748,164555462,19.201600570784,primary,33,"LINESTRING(32.8441733 39.9151483,32.8439533 39.915185)",0.39078650685869054
4,5,164555462,4754236193,60.203814251331394,primary,18,"LINESTRING(32.8439533 39.915185,32.8432651 39.9153055)",0.40998810742947456
5,6,4754236193,164555551,77.02747246131091,primary,46,"LINESTRING(32.8432651 39.9153055,32.8423827 39.9154532)",0.4701919216808059
6,7,164555551,1388625632,90.5495217146224,primary,44,"LINESTRING(32.8423827 39.9154532,32.8413436 39.9156204)",0.5472193941421168
7,8,1388625632,2354783602,89.71621136498659,primary,56,"LINESTRING(32.8413436 39.9156204,32.8403135 39.915784)",0.6377689158567392
8,9,2354783602,2354783622,98.64416378696171,primary,39,"LINESTRING(32.8403135 39.915784,32.8391798 39.9159598)",0.7274851272217258
9,10,2354783622,2354783632,51.90923815519629,primary,37,"LINESTRING(32.8391798 39.9159598,32.8385792 39.9160355)",0.8261292910086875
10,11,2354783632,309677161,45.8903377722901,primary,48,"LINESTRING(32.8385792 39.9160355,32.8380445 39.9160817)",0.8780385291638838
11,12,309677161,2354783642,153.402006105749,primary,36,"LINESTRING(32.8380445 39.9160817,32.8362499 39.9161748)",0.9239288669361739
12,13,2354783642,27046632,60.3216520812422,primary,37,"LINESTRING(32.8362499 39.9161748,32.835546 39.9162279)",1.0773308730419229
13,14,27046632,4754239791,111.702899958104,primary,53,"LINESTRING(32.835546 39.9162279,32.8342363 39.9162378)",1.137652525123165
14,15,4754239791,29431547,58.952641811852295,primary,56,"LINESTRING(32.8342363 39.9162378,32.8335458 39.9162132)",1.249355425081269
15,16,29431547,143021815,99.40169633027479,primary,53,"LINESTRING(32.8335458 39.9162132,32.8323809 39.9161839)",1.3083080668931213
16,17,143021815,143021804,148.647312505277,primary,88,"LINESTRING(32.8323809 39.9161839,32.8306448 39.9160655)",1.4077097632233961
17,18,143021804,29289705,127.440181871309,primary,52,"LINESTRING(32.8306448 39.9160655,32.8291633 39.9159159)",1.556357075728673
18,19,29289705,29431548,231.591729728443,primary,75,"LINESTRING(32.8291633 39.9159159,32.8265067 39.9154845)",1.683797257599982
19,20,29431548,27046633,218.072932409001,primary,92,"LINESTRING(32.8265067 39.9154845,32.8240306 39.9149952)",1.9153889873284249
20,21,27046633,4754262478,195.59187050757598,primary,48,"LINESTRING(32.8240306 39.9149952,32.8218266 39.914509)",2.133461919737426
21,22,4754262478,404730047,12.1276519657196,primary,74,"LINESTRING(32.8218266 39.914509,32.8216907 39.9144769)",2.329053790245002
22,23,404730047,2354679469,35.0175836072338,primary,78,"LINESTRING(32.8216907 39.9144769,32.8212955 39.9143915)",2.3411814422107216
23,24,2354679469,2189674218,32.596780662103,primary,62,"LINESTRING(32.8212955 39.9143915,32.8209306 39.9143043)",2.3761990258179555
24,25,2189674218,4754279538,6.32398988592241,primary,52,"LINESTRING(32.8209306 39.9143043,32.8208598 39.9142874)",2.4087958064800583
25,26,4754279538,4754279542,284.580256056577,primary,74,"LINESTRING(32.8208598 39.9142874,32.8176745 39.9135252)",2.4151197963659805
26,27,4754279542,150546760,86.1676650261849,trunk,72,"LINESTRING(32.8176745 39.9135252,32.8167116 39.9132906)",2.6997000524225574
27,28,150546760,818678211,50.1595667426927,trunk,73,"LINESTRING(32.8167116 39.9132906,32.816145 39.9131697)",2.7858677174487423
28,29,818678211,276961615,97.63555805831409,trunk,76,"LINESTRING(32.816145 39.9131697,32.8150475 39.91292)",2.836027284191435
29,30,276961615,818678177,222.027702454593,trunk,64,"LINESTRING(32.8150475 39.91292,32.8125517 39.9123523)",2.933662842249749
30,31,818678177,288704308,98.0487574578737,trunk,63,"LINESTRING(32.8125517 39.9123523,32.8114487 39.9121038)",3.155690544704342
31,32,288704308,288704314,409.786048349078,trunk,87,"LINESTRING(32.8114487 39.9121038,32.8068635 39.9110029)",3.2537393021622156
32,33,288704314,29431552,199.86434040753102,trunk,68,"LINESTRING(32.8068635 39.9110029,32.8046313 39.910456)",3.6635253505112937
33,34,29431552,4420623571,161.840987050046,trunk,65,"LINESTRING(32.8046313 39.910456,32.8028071 39.9100554)",3.8633896909188246
34,35,4420623571,29431549,127.89909203918002,trunk,57,"LINESTRING(32.8028071 39.9100554,32.8013553 39.9097675)",4.025230677968871
35,36,29431549,100035225,105.162753982697,trunk,62,"LINESTRING(32.8013553 39.9097675,32.80015 39.9095683)",4.153129770008051
36,37,100035225,4872855507,80.44841832825591,trunk,60,"LINESTRING(32.80015 39.9095683,32.7992222 39.9094381)",4.258292523990748
37,38,4872855507,4872855506,3.70262571392542,trunk,66,"LINESTRING(32.7992222 39.9094381,32.7991795 39.9094321)",4.338740942319004
38,39,4872855506,4218662729,64.7926344602104,trunk,82,"LINESTRING(32.7991795 39.9094321,32.798428 39.909347)",4.342443568032929
39,40,4218662729,4420623583,99.36234315409911,trunk,74,"LINESTRING(32.798428 39.909347,32.797271 39.9092428)",4.40723620249314
40,41,4420623583,2355882602,87.9141666712586,trunk,64,"LINESTRING(32.797271 39.9092428,32.7962437 39.9091784)",4.506598545647239
41,42,2355882602,2341574950,74.3786216733407,trunk,57,"LINESTRING(32.7962437 39.9091784,32.7953731 39.9091401)",4.5945127123184974
42,43,2341574950,149002866,494.853912388852,trunk,92,"LINESTRING(32.7953731 39.9091401,32.7895787 39.908916)",4.668891333991838
43,44,149002866,2189830320,67.6767387951931,trunk,70,"LINESTRING(32.7895787 39.908916,32.7887902 39.9088481)",5.1637452463806905
44,45,2189830320,29285152,37.6891104539128,trunk,79,"LINESTRING(32.7887902 39.9088481,32.788349 39.9088294)",5.231421985175884
45,46,29285152,27046645,158.221573784711,trunk,67,"LINESTRING(32.788349 39.9088294,32.7864958 39.9087665)",5.269111095629797
46,47,27046645,393950525,64.38980441526479,trunk,58,"LINESTRING(32.7864958 39.9087665,32.7857416 39.9087413)",5.427332669414508
47,48,393950525,2840173808,48.7049144968114,trunk,60,"LINESTRING(32.7857416 39.9087413,32.7851719 39.9087115)",5.491722473829772
48,49,2840173808,2840163765,90.19272677800541,trunk,49,"LINESTRING(32.7851719 39.9087115,32.7841164 39.9086625)",5.5404273883265835
49,50,2840163765,27046640,17.8676044745403,trunk,63,"LINESTRING(32.7841164 39.9086625,32.7839073 39.9086528)",5.630620115104589
50,51,27046640,2341574933,84.218834407727,trunk,61,"LINESTRING(32.7839073 39.9086528,32.7829213 39.9086126)",5.64848771957913
51,52,2341574933,114345962,116.324286264007,trunk,66,"LINESTRING(32.7829213 39.9086126,32.78156 39.9085493)",5.732706553986857
52,53,114345962,2341574930,16.8668184386475,trunk,53,"LINESTRING(32.78156 39.9085493,32.7813625 39.9085417)",5.8490308402508635
53,54,2341574930,2189698812,81.12161221057991,trunk,78,"LINESTRING(32.7813625 39.9085417,32.7804126 39.9085054)",5.865897658689511
54,55,2189698812,60535532,51.1894003982676,trunk,60,"LINESTRING(32.7804126 39.9085054,32.7798132 39.9084824)",5.947019270900091
55,56,60535532,2189698811,43.2015231303916,trunk,59,"LINESTRING(32.7798132 39.9084824,32.7793074 39.908462)",5.998208671298358
56,57,2189698811,2355882578,43.795939741108896,trunk,56,"LINESTRING(32.7793074 39.908462,32.7787943 39.9084471)",6.0414101944287495
57,58,2355882578,27046641,178.269344650907,trunk,68,"LINESTRING(32.7787943 39.9084471,32.7767073 39.9083606)",6.085206134169859
58,59,27046641,2355882577,68.2636886070491,trunk,78,"LINESTRING(32.7767073 39.9083606,32.7759082 39.9083266)",6.263475478820766
59,60,2355882577,718670146,44.68104298299811,trunk,108,"LINESTRING(32.7759082 39.9083266,32.7753849 39.9083083)",6.3317391674278145
60,61,718670146,2355882576,28.082686567555104,trunk,71,"LINESTRING(32.7753849 39.9083083,32.7750561 39.9082952)",6.376420210410813
61,62,2355882576,27046654,157.83578537904498,trunk,63,"LINESTRING(32.7750561 39.9082952,32.7732081 39.9082218)",6.404502896978368
62,63,27046654,718670149,143.31913349922598,trunk,60,"LINESTRING(32.7732081 39.9082218,32.7715303 39.9081518)",6.562338682357413
63,64,718670149,27046655,143.661062215462,trunk,92,"LINESTRING(32.7715303 39.9081518,32.7698478 39.9080923)",6.705657815856639
64,65,27046655,309867963,204.43740481958,trunk,72,"LINESTRING(32.7698478 39.9080923,32.7674561 39.9079721)",6.849318878072101
65,66,309867963,27046656,156.790894376241,trunk,68,"LINESTRING(32.7674561 39.9079721,32.7656191 39.9079208)",7.053756282891681
66,67,27046656,310043456,113.251174576287,trunk,69,"LINESTRING(32.7656191 39.9079208,32.7642914 39.9079114)",7.210547177267921
67,68,310043456,29474399,46.7832725287531,trunk,50,"LINESTRING(32.7642914 39.9079114,32.7637433 39.9078956)",7.323798351844208
68,69,29474399,27046657,16.874944599320198,trunk,83,"LINESTRING(32.7637433 39.9078956,32.7635457 39.9078881)",7.370581624372961
69,70,27046657,2355905380,32.9520250460996,trunk,92,"LINESTRING(32.7635457 39.9078881,32.7631601 39.9078699)",7.387456568972281
70,71,2355905380,27046658,34.9169508162395,trunk,68,"LINESTRING(32.7631601 39.9078699,32.7627515 39.9078507)",7.42040859401838
71,72,27046658,2314412574,241.218658546916,trunk,77,"LINESTRING(32.7627515 39.9078507,32.7599274 39.9077362)",7.45532554483462
72,73,2314412574,2314412573,219.95022288586898,trunk,77,"LINESTRING(32.7599274 39.9077362,32.7573523 39.9076319)",7.696544203381536
73,74,2314412573,27046659,84.0564858241213,trunk,75,"LINESTRING(32.7573523 39.9076319,32.7563682 39.907592)",7.916494426267405
74,75,27046659,27046661,955.583570101536,trunk,74,"LINESTRING(32.7563682 39.907592,32.7451815 39.9071262)",8.000550912091526
