start_node,finish_node,lengthm,speed,st_astext,road_type,last_updated
1865491367,1054357410,11.461347769107,36,"LINESTRING(32.150287 39.5786995,32.1501702 39.5786493)",trunk,2019-05-06 11:22:20.504+00
2389806696,2389806676,80.1892113036674,91,"LINESTRING(32.6933046 39.9036036,32.6925897 39.9031353)",trunk,2019-05-13 22:50:14.206+00
2342959159,2189335624,60.9981426360266,62,"LINESTRING(32.6531469 39.8777009,32.6526169 39.8773328)",trunk,2019-05-13 23:07:53.417+00
27046672,2360960874,9.87521867745173,37,"LINESTRING(32.6580498 39.881106,32.657964 39.8810464)",trunk,2019-05-13 22:56:27.831+00
2351592357,2351592358,89.5014743549703,88,"LINESTRING(32.2603459 39.694797,32.2611256 39.6953336)",trunk,2019-05-13 23:25:17.226+00
112368919,112369129,895.415984332499,79,"LINESTRING(32.4149297 39.7445487,32.4245081 39.7478055)",trunk,2019-05-13 23:09:20.902+00
449553811,2360960900,40.9949856635095,43,"LINESTRING(32.6576289 39.8808137,32.6572727 39.8805663)",trunk,2019-05-13 23:52:57.132+00
4087676575,29474517,91.5090415282775,92,"LINESTRING(32.2813907 39.7070026,32.2804978 39.7065494)",trunk,2019-05-14 00:41:26.864+00
1421882224,112361239,118.830320362793,76,"LINESTRING(32.1690786 39.5878921,32.1699745 39.5887078)",trunk,2019-05-13 23:09:18.283+00
1914127395,29474486,218.148248105256,89,"LINESTRING(32.4029501 39.7406888,32.4006139 39.7399003)",trunk,2019-05-13 23:22:43.039+00
112364589,112364631,169.007981798578,75,"LINESTRING(32.2406648 39.6811705,32.2421032 39.682212)",trunk,2019-05-14 00:07:29.09+00
112372936,2356121080,289.479806752708,91,"LINESTRING(32.5613715 39.8151871,32.5639012 39.8169197)",trunk,2019-05-14 00:38:34.166+00
29474499,4087676575,54.6083420017336,87,"LINESTRING(32.2819235 39.7072731,32.2813907 39.7070026)",trunk,2019-05-14 00:37:06.331+00
308856720,2189274505,122.698165478684,87,"LINESTRING(32.6375017 39.8666333,32.6385917 39.8673528)",trunk,2019-05-13 23:22:34.861+00
309868104,29474302,548.764185273356,51,"LINESTRING(32.769184 39.9079032,32.7756086 39.9081659)",trunk,2019-05-13 23:10:17.07+00
27047862,29474479,567.150560101704,82,"LINESTRING(32.4760502 39.7640009,32.4697122 39.7624913)",trunk,2019-05-13 23:28:46.012+00
1499966772,29474464,21.7570524908203,94,"LINESTRING(32.5703902 39.8216046,32.5701902 39.8214834)",trunk,2019-05-14 00:32:13.107+00
143021804,29289705,127.440181871309,52,"LINESTRING(32.8306448 39.9160655,32.8291633 39.9159159)",primary,2019-05-13 23:07:53.718+00
112371125,112371284,656.797925919413,78,"LINESTRING(32.4993849 39.7757154,32.5055615 39.7792305)",trunk,2019-05-14 00:13:24.134+00
2355905380,27046658,34.9169508162395,68,"LINESTRING(32.7631601 39.9078699,32.7627515 39.9078507)",trunk,2019-05-13 23:25:20.171+00
2471614594,2389806677,40.970972504431,84,"LINESTRING(32.6827072 39.89697,32.6830855 39.897197)",trunk,2019-05-13 22:41:17.762+00
205004957,205005044,100.747670231157,90,"LINESTRING(32.6267176 39.862066,32.6277744 39.8624696)",trunk,2019-05-14 00:22:53.546+00
114345962,2341574930,16.8668184386475,53,"LINESTRING(32.78156 39.9085493,32.7813625 39.9085417)",trunk,2019-05-13 23:12:33.324+00
4755276057,2271280445,67.9335416054615,50,"LINESTRING(32.8306179 39.9159554,32.8314115 39.9160079)",primary,2019-05-13 23:12:33.929+00
29474399,27046657,16.8749445993202,83,"LINESTRING(32.7637433 39.9078956,32.7635457 39.9078881)",trunk,2019-05-13 22:59:08.929+00
2985970611,29431511,176.108456509673,58,"LINESTRING(32.7991983 39.9092355,32.8012157 39.9095727)",trunk,2019-05-13 23:13:18.604+00
112374548,112374563,134.78549494277,88,"LINESTRING(32.5998514 39.850227,32.6008715 39.8511522)",trunk,2019-05-13 23:03:05.589+00
112374743,112374846,662.964471000057,103,"LINESTRING(32.6107531 39.8561651,32.617759 39.8587389)",trunk,2019-05-14 00:21:23.515+00
2189335578,5907074434,7.99956993259422,50,"LINESTRING(32.6437172 39.8711622,32.6436468 39.8711147)",trunk,2019-05-13 22:58:11.72+00
112370592,112370629,72.7021567352194,100,"LINESTRING(32.4810715 39.7654571,32.4818032 39.7657905)",trunk,2019-05-13 23:56:07.958+00
3723941728,3723941727,30.9544399376652,96,"LINESTRING(32.4082417 39.7424621,32.4079102 39.7423502)",trunk,2019-05-14 00:00:10.258+00
112369200,112369370,604.502358352965,85,"LINESTRING(32.4277814 39.7489155,32.4342532 39.7511055)",trunk,2019-05-14 00:44:23.865+00
27047873,1914126989,77.7438324311141,50,"LINESTRING(32.2160842 39.6537584,32.2155851 39.6531743)",trunk,2019-04-22 10:19:13.455+00
29474505,27047872,250.846814427591,54,"LINESTRING(32.2388283 39.6799717,32.2370568 39.6781744)",trunk,2019-05-14 00:11:23.225+00
