segment_id,start_node,finish_node,lengthm,road_type,speed,st_astext
1047,112364483,112364507,85.716519840557,trunk,75,"LINESTRING(32.2380515 39.678862,32.2386664 39.6794705)"
1048,112364507,112364551,85.5611311640297,trunk,76,"LINESTRING(32.2386664 39.6794705,32.2393082 39.6800605)"
1050,112364551,112364571,85.2241480399013,trunk,77,"LINESTRING(32.2393082 39.6800605,32.2399764 39.6806288)"
1051,112364571,3439221819,69.8220624104381,trunk,77,"LINESTRING(32.2399764 39.6806288,32.2405469 39.6810777)"
1052,3439221819,112364589,14.431838765168,trunk,75,"LINESTRING(32.2405469 39.6810777,32.2406648 39.6811705)"
1053,112364589,112364631,169.007981798578,trunk,75,"LINESTRING(32.2406648 39.6811705,32.2421032 39.682212)"
1054,112364631,3439221826,297.116635493656,trunk,76,"LINESTRING(32.2421032 39.682212,32.2446803 39.6840026)"
1055,3439221826,112364724,137.907202597406,trunk,80,"LINESTRING(32.2446803 39.6840026,32.2458765 39.6848337)"
1056,112364724,112364873,597.106078064495,trunk,81,"LINESTRING(32.2458765 39.6848337,32.2510697 39.6884204)"
1057,112364873,2970273103,237.216596639497,trunk,80,"LINESTRING(32.2510697 39.6884204,32.2531377 39.6898412)"
1058,2970273103,2351272037,431.656700460642,trunk,88,"LINESTRING(32.2531377 39.6898412,32.256901 39.6924265)"
1059,2351272037,112365057,61.042816841418,trunk,80,"LINESTRING(32.256901 39.6924265,32.2574332 39.6927921)"
1060,112365057,2351592357,334.376437492455,trunk,85,"LINESTRING(32.2574332 39.6927921,32.2603459 39.694797)"
1061,2351592357,2351592358,89.5014743549703,trunk,88,"LINESTRING(32.2603459 39.694797,32.2611256 39.6953336)"
1062,2351592358,112365259,228.52920539659,trunk,76,"LINESTRING(32.2611256 39.6953336,32.2631164 39.6967038)"
1063,112365259,2351271815,32.8870575447514,trunk,79,"LINESTRING(32.2631164 39.6967038,32.263408 39.6968965)"
1064,2351271815,112365346,300.495251106293,trunk,78,"LINESTRING(32.263408 39.6968965,32.2660231 39.6987005)"
1065,112365346,112365434,169.077983822298,trunk,93,"LINESTRING(32.2660231 39.6987005,32.2675081 39.6997038)"
1066,112365434,4942039498,16.2655156391552,trunk,87,"LINESTRING(32.2675081 39.6997038,32.2676557 39.699796)"
1067,4942039498,112365462,68.406078380703,trunk,87,"LINESTRING(32.2676557 39.699796,32.2682764 39.7001838)"
1068,112365462,2351271985,80.0528688897521,trunk,91,"LINESTRING(32.2682764 39.7001838,32.2690211 39.7006197)"
1069,2351271985,112365522,88.9337203523508,trunk,88,"LINESTRING(32.2690211 39.7006197,32.2698583 39.7010938)"
1070,112365522,112365564,168.653498277156,trunk,80,"LINESTRING(32.2698583 39.7010938,32.2714881 39.7019471)"
1071,112365564,112365605,169.092103590207,trunk,77,"LINESTRING(32.2714881 39.7019471,32.2731498 39.7027705)"
1072,112365605,112365740,510.01469906085,trunk,100,"LINESTRING(32.2731498 39.7027705,32.2781815 39.7052305)"
1073,112365740,112365862,332.682906597977,trunk,87,"LINESTRING(32.2781815 39.7052305,32.2814649 39.7068338)"
1074,112365862,112365993,505.041123496578,trunk,100,"LINESTRING(32.2814649 39.7068338,32.2864432 39.7092754)"
1075,112365993,112366177,504.136861329811,trunk,86,"LINESTRING(32.2864432 39.7092754,32.2914132 39.7117121)"
1076,112366177,112366227,145.937113662659,trunk,97,"LINESTRING(32.2914132 39.7117121,32.2928632 39.7124037)"
1077,112366227,112366246,72.3054993861125,trunk,97,"LINESTRING(32.2928632 39.7124037,32.2936014 39.7127205)"
1078,112366246,112366276,72.0615287871762,trunk,77,"LINESTRING(32.2936014 39.7127205,32.2943548 39.7130105)"
1079,112366276,112366294,72.3331182668594,trunk,84,"LINESTRING(32.2943548 39.7130105,32.2951232 39.7132821)"
1080,112366294,112366318,71.8309980130552,trunk,97,"LINESTRING(32.2951232 39.7132821,32.2958966 39.7135338)"
1081,112366318,112366337,72.5659827137651,trunk,97,"LINESTRING(32.2958966 39.7135338,32.2966881 39.7137687)"
1082,112366337,112366361,72.4309128931275,trunk,94,"LINESTRING(32.2966881 39.7137687,32.2974882 39.713982)"
1083,112366361,3439221771,32.2878129427814,trunk,84,"LINESTRING(32.2974882 39.713982,32.2978487 39.7140681)"
1084,3439221771,112366389,40.2522274209612,trunk,95,"LINESTRING(32.2978487 39.7140681,32.2982981 39.7141755)"
1085,112366389,112366413,73.0158488086613,trunk,97,"LINESTRING(32.2982981 39.7141755,32.2991215 39.7143487)"
1086,112366413,112366709,852.715084800011,trunk,96,"LINESTRING(32.2991215 39.7143487,32.3088148 39.7161405)"
1087,112366709,112366986,1073.41287321144,trunk,90,"LINESTRING(32.3088148 39.7161405,32.3210298 39.7183555)"
1088,112366986,112367108,548.388495929441,trunk,102,"LINESTRING(32.3210298 39.7183555,32.3272714 39.7194838)"
1089,112367108,112367252,719.997836198132,trunk,87,"LINESTRING(32.3272714 39.7194838,32.3354632 39.7209755)"
1090,112367252,112367456,829.434991918334,trunk,78,"LINESTRING(32.3354632 39.7209755,32.3449014 39.7226905)"
1091,112367456,4087652476,337.000151728857,trunk,93,"LINESTRING(32.3449014 39.7226905,32.3487348 39.7233919)"
1092,4087652476,1914127277,382.963225185415,trunk,88,"LINESTRING(32.3487348 39.7233919,32.3530911 39.7241889)"
1093,1914127277,112367659,63.172634180001,trunk,88,"LINESTRING(32.3530911 39.7241889,32.3538097 39.7243204)"
1094,112367659,1914127281,37.9342391003375,trunk,88,"LINESTRING(32.3538097 39.7243204,32.354238 39.7244091)"
1095,1914127281,112367690,97.4534873858081,trunk,94,"LINESTRING(32.354238 39.7244091,32.3553383 39.724637)"
1096,112367690,112367733,141.781685795247,trunk,88,"LINESTRING(32.3553383 39.724637,32.3569214 39.7250155)"
1097,112367733,112367752,150.602533666373,trunk,88,"LINESTRING(32.3569214 39.7250155,32.3585657 39.7255003)"
1098,112367752,3091171880,44.6690693883668,trunk,91,"LINESTRING(32.3585657 39.7255003,32.3590506 39.7256496)"
1099,3091171880,112367779,108.632963780874,trunk,84,"LINESTRING(32.3590506 39.7256496,32.3602298 39.7260128)"
1100,112367779,112367934,952.451231167948,trunk,82,"LINESTRING(32.3602298 39.7260128,32.3704497 39.7294171)"
1101,112367934,112368028,646.504815280586,trunk,90,"LINESTRING(32.3704497 39.7294171,32.3773599 39.7317755)"
1102,112368028,1914127328,689.110081480002,trunk,93,"LINESTRING(32.3773599 39.7317755,32.3847287 39.7342842)"
1103,1914127328,112368141,200.851723519549,trunk,83,"LINESTRING(32.3847287 39.7342842,32.3868765 39.7350154)"
1104,112368141,1914127347,292.881094347303,trunk,90,"LINESTRING(32.3868765 39.7350154,32.3900068 39.7360845)"
1105,1914127347,112368242,194.28235632299,trunk,75,"LINESTRING(32.3900068 39.7360845,32.3920833 39.7367937)"
1106,112368242,112368321,316.928639055923,trunk,80,"LINESTRING(32.3920833 39.7367937,32.3954765 39.7379405)"
1107,112368321,112368559,634.107557488712,trunk,86,"LINESTRING(32.3954765 39.7379405,32.4022731 39.7402221)"
