segment_id,start_node,finish_node,lengthm,road_type,speed,st_astext
1,164555561,4754236192,216.942435463349,primary,50,"LINESTRING(32.8486566 39.914424,32.84617 39.914835)"
2,4754236192,277130673,77.048124869111,primary,46,"LINESTRING(32.84617 39.914835,32.8452886 39.914987)"
3,277130673,2491138748,96.7959465262306,primary,33,"LINESTRING(32.8452886 39.914987,32.8441733 39.9151483)"
4,2491138748,164555462,19.201600570784,primary,33,"LINESTRING(32.8441733 39.9151483,32.8439533 39.915185)"
5,164555462,4754236193,60.2038142513314,primary,18,"LINESTRING(32.8439533 39.915185,32.8432651 39.9153055)"
6,4754236193,164555551,77.0274724613109,primary,46,"LINESTRING(32.8432651 39.9153055,32.8423827 39.9154532)"
7,164555551,1388625632,90.5495217146224,primary,44,"LINESTRING(32.8423827 39.9154532,32.8413436 39.9156204)"
8,1388625632,2354783602,89.7162113649866,primary,56,"LINESTRING(32.8413436 39.9156204,32.8403135 39.915784)"
9,2354783602,2354783622,98.6441637869617,primary,39,"LINESTRING(32.8403135 39.915784,32.8391798 39.9159598)"
10,2354783622,2354783632,51.9092381551963,primary,37,"LINESTRING(32.8391798 39.9159598,32.8385792 39.9160355)"
11,2354783632,309677161,45.8903377722901,primary,48,"LINESTRING(32.8385792 39.9160355,32.8380445 39.9160817)"
12,309677161,2354783642,153.402006105749,primary,36,"LINESTRING(32.8380445 39.9160817,32.8362499 39.9161748)"
13,2354783642,27046632,60.3216520812422,primary,37,"LINESTRING(32.8362499 39.9161748,32.835546 39.9162279)"
14,27046632,4754239791,111.702899958104,primary,53,"LINESTRING(32.835546 39.9162279,32.8342363 39.9162378)"
15,4754239791,29431547,58.9526418118523,primary,56,"LINESTRING(32.8342363 39.9162378,32.8335458 39.9162132)"
16,29431547,143021815,99.4016963302748,primary,53,"LINESTRING(32.8335458 39.9162132,32.8323809 39.9161839)"
17,143021815,143021804,148.647312505277,primary,88,"LINESTRING(32.8323809 39.9161839,32.8306448 39.9160655)"
18,143021804,29289705,127.440181871309,primary,52,"LINESTRING(32.8306448 39.9160655,32.8291633 39.9159159)"
19,29289705,29431548,231.591729728443,primary,75,"LINESTRING(32.8291633 39.9159159,32.8265067 39.9154845)"
20,29431548,27046633,218.072932409001,primary,92,"LINESTRING(32.8265067 39.9154845,32.8240306 39.9149952)"
21,27046633,4754262478,195.591870507576,primary,48,"LINESTRING(32.8240306 39.9149952,32.8218266 39.914509)"
22,4754262478,404730047,12.1276519657196,primary,74,"LINESTRING(32.8218266 39.914509,32.8216907 39.9144769)"
23,404730047,2354679469,35.0175836072338,primary,78,"LINESTRING(32.8216907 39.9144769,32.8212955 39.9143915)"
24,2354679469,2189674218,32.596780662103,primary,62,"LINESTRING(32.8212955 39.9143915,32.8209306 39.9143043)"
25,2189674218,4754279538,6.32398988592241,primary,52,"LINESTRING(32.8209306 39.9143043,32.8208598 39.9142874)"
26,4754279538,4754279542,284.580256056577,primary,74,"LINESTRING(32.8208598 39.9142874,32.8176745 39.9135252)"
27,4754279542,150546760,86.1676650261849,trunk,72,"LINESTRING(32.8176745 39.9135252,32.8167116 39.9132906)"
28,150546760,818678211,50.1595667426927,trunk,73,"LINESTRING(32.8167116 39.9132906,32.816145 39.9131697)"
29,818678211,276961615,97.6355580583141,trunk,76,"LINESTRING(32.816145 39.9131697,32.8150475 39.91292)"
30,276961615,818678177,222.027702454593,trunk,64,"LINESTRING(32.8150475 39.91292,32.8125517 39.9123523)"
31,818678177,288704308,98.0487574578737,trunk,63,"LINESTRING(32.8125517 39.9123523,32.8114487 39.9121038)"
32,288704308,288704314,409.786048349078,trunk,87,"LINESTRING(32.8114487 39.9121038,32.8068635 39.9110029)"
33,288704314,29431552,199.864340407531,trunk,68,"LINESTRING(32.8068635 39.9110029,32.8046313 39.910456)"
34,29431552,4420623571,161.840987050046,trunk,65,"LINESTRING(32.8046313 39.910456,32.8028071 39.9100554)"
35,4420623571,29431549,127.89909203918,trunk,57,"LINESTRING(32.8028071 39.9100554,32.8013553 39.9097675)"
36,29431549,100035225,105.162753982697,trunk,62,"LINESTRING(32.8013553 39.9097675,32.80015 39.9095683)"
37,100035225,4872855507,80.4484183282559,trunk,60,"LINESTRING(32.80015 39.9095683,32.7992222 39.9094381)"
38,4872855507,4872855506,3.70262571392542,trunk,66,"LINESTRING(32.7992222 39.9094381,32.7991795 39.9094321)"
39,4872855506,4218662729,64.7926344602104,trunk,82,"LINESTRING(32.7991795 39.9094321,32.798428 39.909347)"
40,4218662729,4420623583,99.3623431540991,trunk,74,"LINESTRING(32.798428 39.909347,32.797271 39.9092428)"
41,4420623583,2355882602,87.9141666712586,trunk,64,"LINESTRING(32.797271 39.9092428,32.7962437 39.9091784)"
42,2355882602,2341574950,74.3786216733407,trunk,57,"LINESTRING(32.7962437 39.9091784,32.7953731 39.9091401)"
43,2341574950,149002866,494.853912388852,trunk,92,"LINESTRING(32.7953731 39.9091401,32.7895787 39.908916)"
44,149002866,2189830320,67.6767387951931,trunk,70,"LINESTRING(32.7895787 39.908916,32.7887902 39.9088481)"
45,2189830320,29285152,37.6891104539128,trunk,79,"LINESTRING(32.7887902 39.9088481,32.788349 39.9088294)"
46,29285152,27046645,158.221573784711,trunk,67,"LINESTRING(32.788349 39.9088294,32.7864958 39.9087665)"
47,27046645,393950525,64.3898044152648,trunk,58,"LINESTRING(32.7864958 39.9087665,32.7857416 39.9087413)"
48,393950525,2840173808,48.7049144968114,trunk,60,"LINESTRING(32.7857416 39.9087413,32.7851719 39.9087115)"
