segment_id,start_node,end_node,given_length,road_type,speed,st_astext,startLat,startLon,endLat,endLon,dir,calc_length,distance_from_start
29,818678211,276961615,97.6355580583141,trunk,76,"LINESTRING(32.816145 39.9131697,32.8150475 39.91292)",39.9131697,32.816145,39.91292,32.8150475,1,97.6414459141598,2836.19830917614
30,276961615,818678177,222.027702454593,trunk,64,"LINESTRING(32.8150475 39.91292,32.8125517 39.9123523)",39.91292,32.8150475,39.9123523,32.8125517,1,222.041091706745,2933.8397550903
31,818678177,288704308,98.0487574578737,trunk,63,"LINESTRING(32.8125517 39.9123523,32.8114487 39.9121038)",39.9123523,32.8125517,39.9121038,32.8114487,1,98.0546702314701,3155.88084679705
32,288704308,288704314,409.786048349078,trunk,87,"LINESTRING(32.8114487 39.9121038,32.8068635 39.9110029)",39.9121038,32.8114487,39.9110029,32.8068635,1,409.81076025966,3253.93551702852
33,288704314,29431552,199.864340407531,trunk,68,"LINESTRING(32.8068635 39.9110029,32.8046313 39.910456)",39.9110029,32.8068635,39.910456,32.8046313,1,199.876393110956,3663.74627728818
34,29431552,4420623571,161.840987050046,trunk,65,"LINESTRING(32.8046313 39.910456,32.8028071 39.9100554)",39.910456,32.8046313,39.9100554,32.8028071,1,161.850746777144,3863.62267039913
35,4420623571,29431549,127.89909203918,trunk,57,"LINESTRING(32.8028071 39.9100554,32.8013553 39.9097675)",39.9100554,32.8028071,39.9097675,32.8013553,1,127.906804919935,4025.47341717628
36,29431549,100035225,105.162753982697,trunk,62,"LINESTRING(32.8013553 39.9097675,32.80015 39.9095683)",39.9097675,32.8013553,39.9095683,32.80015,1,105.169095761739,4153.38022209621
37,100035225,4872855507,80.4484183282559,trunk,60,"LINESTRING(32.80015 39.9095683,32.7992222 39.9094381)",39.9095683,32.80015,39.9094381,32.7992222,1,80.453269723583,4258.54931785795
38,4872855507,4872855506,3.70262571392542,trunk,66,"LINESTRING(32.7992222 39.9094381,32.7991795 39.9094321)",39.9094381,32.7992222,39.9094321,32.7991795,1,3.70284899862709,4339.00258758153
39,4872855506,4218662729,64.7926344602104,trunk,82,"LINESTRING(32.7991795 39.9094321,32.798428 39.909347)",39.9094321,32.7991795,39.909347,32.798428,1,64.7965417425484,4342.70543658016
40,4218662729,4420623583,99.3623431540991,trunk,74,"LINESTRING(32.798428 39.909347,32.797271 39.9092428)",39.909347,32.798428,39.9092428,32.797271,1,99.368335142721,4407.50197832271
41,4420623583,2355882602,87.9141666712586,trunk,64,"LINESTRING(32.797271 39.9092428,32.7962437 39.9091784)",39.9092428,32.797271,39.9091784,32.7962437,1,87.9194682842206,4506.87031346543
42,2355882602,2341574950,74.3786216733407,trunk,57,"LINESTRING(32.7962437 39.9091784,32.7953731 39.9091401)",39.9091784,32.7962437,39.9091401,32.7953731,1,74.383107033092,4594.78978174965
43,2341574950,149002866,494.853912388852,trunk,92,"LINESTRING(32.7953731 39.9091401,32.7895787 39.908916)",39.9091401,32.7953731,39.908916,32.7895787,1,494.883754267761,4669.17288878274
44,149002866,2189830320,67.6767387951931,trunk,70,"LINESTRING(32.7895787 39.908916,32.7887902 39.9088481)",39.908916,32.7895787,39.9088481,32.7887902,1,67.6808200017746,5164.0566430505
45,2189830320,29285152,37.6891104539128,trunk,79,"LINESTRING(32.7887902 39.9088481,32.788349 39.9088294)",39.9088481,32.7887902,39.9088294,32.788349,1,37.6913832739152,5231.73746305228
46,29285152,27046645,158.221573784711,trunk,67,"LINESTRING(32.788349 39.9088294,32.7864958 39.9087665)",39.9088294,32.788349,39.9087665,32.7864958,1,158.231115245186,5269.42884632619
47,27046645,393950525,64.3898044152648,trunk,58,"LINESTRING(32.7864958 39.9087665,32.7857416 39.9087413)",39.9087665,32.7864958,39.9087413,32.7857416,1,64.39368740517,5427.65996157138
48,393950525,2840173808,48.7049144968114,trunk,60,"LINESTRING(32.7857416 39.9087413,32.7851719 39.9087115)",39.9087413,32.7857416,39.9087115,32.7851719,1,48.7078516185039,5492.05364897655
49,2840173808,2840163765,90.1927267780054,trunk,49,"LINESTRING(32.7851719 39.9087115,32.7841164 39.9086625)",39.9087115,32.7851719,39.9086625,32.7841164,1,90.1981657982165,5540.76150059505
50,2840163765,27046640,17.8676044745403,trunk,63,"LINESTRING(32.7841164 39.9086625,32.7839073 39.9086528)",39.9086625,32.7841164,39.9086528,32.7839073,1,17.8686819700916,5630.95966639327
51,27046640,2341574933,84.218834407727,trunk,61,"LINESTRING(32.7839073 39.9086528,32.7829213 39.9086126)",39.9086528,32.7839073,39.9086126,32.7829213,1,84.2239131758147,5648.82834836336
52,2341574933,114345962,116.324286264007,trunk,66,"LINESTRING(32.7829213 39.9086126,32.78156 39.9085493)",39.9086126,32.7829213,39.9085493,32.78156,1,116.331301132795,5733.05226153918
53,114345962,2341574930,16.8668184386475,trunk,53,"LINESTRING(32.78156 39.9085493,32.7813625 39.9085417)",39.9085493,32.78156,39.9085417,32.7813625,1,16.8678355823758,5849.38356267197
54,2341574930,2189698812,81.1216122105799,trunk,78,"LINESTRING(32.7813625 39.9085417,32.7804126 39.9085054)",39.9085417,32.7813625,39.9085054,32.7804126,1,81.1265042024747,5866.25139825435
55,2189698812,60535532,51.1894003982676,trunk,60,"LINESTRING(32.7804126 39.9085054,32.7798132 39.9084824)",39.9085054,32.7804126,39.9084824,32.7798132,1,51.1924873454452,5947.37790245682
56,60535532,2189698811,43.2015231303916,trunk,59,"LINESTRING(32.7798132 39.9084824,32.7793074 39.908462)",39.9084824,32.7798132,39.908462,32.7793074,1,43.2041283732516,5998.57038980227
57,2189698811,2355882578,43.7959397411089,trunk,56,"LINESTRING(32.7793074 39.908462,32.7787943 39.9084471)",39.908462,32.7793074,39.9084471,32.7787943,1,43.7985808299187,6041.77451817552
58,2355882578,27046641,178.269344650907,trunk,68,"LINESTRING(32.7787943 39.9084471,32.7767073 39.9083606)",39.9084471,32.7787943,39.9083606,32.7767073,1,178.280095080606,6085.57309900544
59,27046641,2355882577,68.2636886070491,trunk,78,"LINESTRING(32.7767073 39.9083606,32.7759082 39.9083266)",39.9083606,32.7767073,39.9083266,32.7759082,1,68.2678052092994,6263.85319408604
60,2355882577,718670146,44.6810429829981,trunk,108,"LINESTRING(32.7759082 39.9083266,32.7753849 39.9083083)",39.9083266,32.7759082,39.9083083,32.7753849,1,44.6837374474468,6332.12099929534
61,718670146,2355882576,28.0826865675551,trunk,71,"LINESTRING(32.7753849 39.9083083,32.7750561 39.9082952)",39.9083083,32.7753849,39.9082952,32.7750561,1,28.0843800777225,6376.80473674279
62,2355882576,27046654,157.835785379045,trunk,63,"LINESTRING(32.7750561 39.9082952,32.7732081 39.9082218)",39.9082952,32.7750561,39.9082218,32.7732081,1,157.845303574772,6404.88911682051
63,27046654,718670149,143.319133499226,trunk,60,"LINESTRING(32.7732081 39.9082218,32.7715303 39.9081518)",39.9082218,32.7732081,39.9081518,32.7715303,1,143.327776276661,6562.73442039529
64,718670149,27046655,143.661062215462,trunk,92,"LINESTRING(32.7715303 39.9081518,32.7698478 39.9080923)",39.9081518,32.7715303,39.9080923,32.7698478,1,143.66972561271,6706.06219667195
65,27046655,309867963,204.43740481958,trunk,72,"LINESTRING(32.7698478 39.9080923,32.7674561 39.9079721)",39.9080923,32.7698478,39.9079721,32.7674561,1,204.449733299009,6849.73192228466
66,309867963,27046656,156.790894376241,trunk,68,"LINESTRING(32.7674561 39.9079721,32.7656191 39.9079208)",39.9079721,32.7674561,39.9079208,32.7656191,1,156.800349560421,7054.18165558366
67,27046656,310043456,113.251174576287,trunk,69,"LINESTRING(32.7656191 39.9079208,32.7642914 39.9079114)",39.9079208,32.7656191,39.9079114,32.7642914,1,113.258004122853,7210.98200514408
68,310043456,29474399,46.7832725287531,trunk,50,"LINESTRING(32.7642914 39.9079114,32.7637433 39.9078956)",39.9079114,32.7642914,39.9078956,32.7637433,1,46.7860937669384,7324.24000926694
69,29474399,27046657,16.8749445993202,trunk,83,"LINESTRING(32.7637433 39.9078956,32.7635457 39.9078881)",39.9078956,32.7637433,39.9078881,32.7635457,1,16.8759622330919,7371.02610303388
70,27046657,2355905380,32.9520250460996,trunk,92,"LINESTRING(32.7635457 39.9078881,32.7631601 39.9078699)",39.9078881,32.7635457,39.9078699,32.7631601,1,32.9540121989069,7387.90206526697
71,2355905380,27046658,34.9169508162395,trunk,68,"LINESTRING(32.7631601 39.9078699,32.7627515 39.9078507)",39.9078699,32.7631601,39.9078507,32.7627515,1,34.9190564627587,7420.85607746587
72,27046658,2314412574,241.218658546916,trunk,77,"LINESTRING(32.7627515 39.9078507,32.7599274 39.9077362)",39.9078507,32.7627515,39.9077362,32.7599274,1,241.233205098572,7455.77513392863
73,2314412574,2314412573,219.950222885869,trunk,77,"LINESTRING(32.7599274 39.9077362,32.7573523 39.9076319)",39.9077362,32.7599274,39.9076319,32.7573523,1,219.963486856817,7697.00833902721
74,2314412573,27046659,84.0564858241213,trunk,75,"LINESTRING(32.7573523 39.9076319,32.7563682 39.907592)",39.9076319,32.7573523,39.907592,32.7563682,1,84.0615548018715,7916.97182588402
75,27046659,27046661,955.583570101536,trunk,74,"LINESTRING(32.7563682 39.907592,32.7451815 39.9071262)",39.907592,32.7563682,39.9071262,32.7451815,1,955.641196015917,8001.03338068589
76,27046661,2355905375,426.959993827092,trunk,76,"LINESTRING(32.7451815 39.9071262,32.7401815 39.9069444)",39.9071262,32.7451815,39.9069444,32.7401815,1,426.98574140252,8956.67457670181
77,2355905375,27046662,185.633393377813,trunk,68,"LINESTRING(32.7401815 39.9069444,32.7380096 39.9068379)",39.9069444,32.7401815,39.9068379,32.7380096,1,185.64458789221,9383.66031810433
78,27046662,61770431,241.722787688211,trunk,80,"LINESTRING(32.7380096 39.9068379,32.7351793 39.9067282)",39.9068379,32.7380096,39.9067282,32.7351793,1,241.737364641084,9569.30490599654
79,61770431,2272351639,234.639503669427,trunk,80,"LINESTRING(32.7351793 39.9067282,32.7324328 39.9066094)",39.9067282,32.7351793,39.9066094,32.7324328,1,234.653653468955,9811.04227063762
80,2272351639,27046664,487.63681053536,trunk,81,"LINESTRING(32.7324328 39.9066094,32.7267222 39.906403)",39.9066094,32.7324328,39.906403,32.7267222,1,487.666217191118,10045.6959241066
81,27046664,310043470,910.989993406113,trunk,76,"LINESTRING(32.7267222 39.906403,32.7160594 39.9059359)",39.906403,32.7267222,39.9059359,32.7160594,1,911.04493013065,10533.3621412977
82,310043470,27046665,132.619089184881,trunk,60,"LINESTRING(32.7160594 39.9059359,32.7145073 39.9058659)",39.9059359,32.7160594,39.9058659,32.7145073,1,132.627086702333,11444.4070714283
